Color;R;G;B;
Black Blue Vescin/Cl Tcb2;0;0;139;
Black Bordeaux Red;64;0;0;
Black CLoth;10;10;10;
Black Carbon;20;20;20;
Black Ceramique;30;30;30;
Black Chalk;50;50;50;
Black Cherry;80;0;0;
Black Cherry Metallic;80;0;0;
Black Cherry Mica;80;0;0;
Black Cherry Pearl;80;0;0;
Black Clear Coat;0;0;0;
Black Clear Coat Px8;0;0;0;
Black Clear Coat/White Gold Clear Coat;0;0;0;
Black Clearcoat;0;0;0;
Black Clearcoat / Black Cloth Top;0;0;0;
Black Clearcoat/Black Cloth Top;0;0;0;
Black Clearcoat/Black Soft Top;0;0;0;
Black Clearcoat/Bright Silver Metallic Clearcoat;0;0;0;
Black Cloth;10;10;10;
Black Cloth Interior;10;10;10;
Black Cloth with Orange Stitching;10;10;10;
Black Cloudtex & Cloth;10;10;10;
Black Cloudtex Leatherette & Cloth;10;10;10;
Black Copper;30;15;10;
Black Copper Pearl;30;15;10;
Black Currant Metallic;64;0;0;
Black DINAMICA;0;0;0;
Black DINAMICA w/Red;0;0;0;
Black Dakota;0;0;0;
Black Dakota Leather;0;0;0;
Black Dakota, leather;0;0;0;
Black Diamond;15;15;15;
Black Diamond Mica;15;15;15;
Black Diamond P;15;15;15;
Black Diamond Pearl;15;15;15;
Black Diamond Tri-Coat;15;15;15;
Black Diamond Tricoat;15;15;15;
Black Diamond/Alloy Silver Roof;15;15;15;
Black Diamond/Deep Bronze Metallic;15;15;15;
Black Ea20;0;0;0;
Black Exclusive Nappa Leather;0;0;0;
Black Extended High Performance Leather;0;0;0;
Black Extended Merino;0;0;0;
Black Fabric;10;10;10;
Black Fb20;0;0;0;
Black Flare Re;0;0;0;
Black Forest Green Pearl;34;139;34;
Black Forest Green Pearlcoat;34;139;34;
Black Forest Pearl;0;0;0;
Black Full Leather;0;0;0;
Black Gold Pearlcoat;184;134;11;
Black Granite Metallic;80;80;80;
Black Granite Pearl;80;80;80;
Black Granite Pearl/Titanium Pearl;80;80;80;
Black Graphite;54;69;79;
Black Gray;50;50;50;
Black Heated Leather;0;0;0;
Black Ice;30;30;50;
Black Ice Metallic;30;30;50;
Black Ice Metallic 58u;30;30;50;
Black In3pb;0;0;0;
Black Ink;0;0;0;
Black Interior;0;0;0;
Black Interior/ Red Stitching;0;0;0;
Black Kcsw;0;0;0;
Black Leather;0;0;0;
Black Leather (Stitching In Guards Red);0;0;0;
Black Leather (an);0;0;0;
Black Leather Inter;0;0;0;
Black Leather Interior;0;0;0;
Black Leather Trim Bucket Seat;0;0;0;
Black Leather Trimmed;0;0;0;
Black Leather With Naguri Aluminum Trim;0;0;0;
Black Leather w/ Red Accents;0;0;0;
Black Leather with Suede Inserts;0;0;0;
Black Leather-Trimmed;0;0;0;
Black Leatherette;10;10;10;
Black Leatherweave;10;10;10;
Black Lthr W/ Yellow Accents;0;0;0;
Black Luxor Beige;50;40;30;
Black MB Tex;0;0;0;
Black MB-Tex;0;0;0;
Black MB-Tex / Microfiber w/ Red Stitching;0;0;0;
Black MB-Tex with Dinamica;0;0;0;
Black MB-Tex/Microfiber with Red Stitching;0;0;0;
Black Mb-Tex;0;0;0;
Black Metallic;20;20;20;
Black Mica;20;20;20;
Black Nappa;0;0;0;
Black Nappa Lea;0;0;0;
Black Nappa Leather;0;0;0;
Black Nappa/Dinamica Exclusive with Yellow contrast Stitch;0;0;0;
Black Nappa/Red;0;0;0;
Black Nasca;0;0;0;
Black Noir Pearl;0;0;0;
Black Noir Pearl Mica;0;0;0;
Black Novillo;0;0;0;
Black Novillo Leather Interior;0;0;0;
Black NuLuxe with Matte W;0;0;0;
Black NuLuxe with Scored;0;0;0;
Black Nuluxe;0;0;0;
Black Nuluxe Black Wa;0;0;0;
Black Nuluxe Dark Gra;0;0;0;
Black Nuluxe Hadori A;0;0;0;
Black Nuluxe Open Por;0;0;0;
Black Nuluxe Stippled;0;0;0;
Black Nuluxe With Black &;0;0;0;
Black Nuluxe With Matte W;0;0;0;
Black Nuluxe With Open-Po;0;0;0;
"Black Nuluxe&Amp; With Op";0;0;0;
Black Nuluxe<sup></sup>[nuluxe] With Dark Umber Trim;0;0;0;
Black Nv;0;0;0;
Black Oak Brown;101;67;33;
Black Oak Brown Metallic;101;67;33;
Black Obsidian;10;10;10;
Black Obsidian (kh3);10;10;10;
Black Obsidian Kh3;10;10;10;
Black Onyx;15;15;15;
Black Onyx Crystal Pearlcoat;15;15;15;
Black Onyx Leather-trimmed/Vinyl;15;15;15;
Black Onyx Pearl;15;15;15;
Black Onyx Trim;15;15;15;
Black Onyx metallic;15;15;15;
Black Onyx w/Brandy Stitch;15;15;15;
Black Onyx/Dark Slate;15;15;15;
Black Onyx/Light Space Gray;15;15;15;
Black Onyx/Medium Dark Slate;15;15;15;
Black Onyx/Roast;15;15;15;
Black Onyx/UCA76;15;15;15;
Black Opal Metallic;20;20;20;
Black Opal Mica;20;20;20;
Black Oynx;15;15;15;
Black Oynx W/Space Gray;15;15;15;
Black Oynx w/Space Gray;15;15;15;
Black Oynx with Medium Light Space Gray;15;15;15;
Black Pbc;0;0;0;
Black Pearl;0;0;0;
Black Pearl (kde1);0;0;0;
Black Pearl Leather;0;0;0;
Black Pearl Light Checkered;0;0;0;
Black Pearl Light Chequered;0;0;0;
Black Pearl Lt Checkered;0;0;0;
Black Pearl Lt Chequered;0;0;0;
Black Pearl/Black;0;0;0;
Black Perforate;0;0;0;
Black Perforated;0;0;0;
Black Perforated Leather-Trimmed;0;0;0;
Black Perforated Suede/evotex Seat Trim;0;0;0;
Black Perforated Veganza;0;0;0;
Black Pipe;0;0;0;
Black Plus PVC;0;0;0;
Black Preferred Suede and Leather Trim;0;0;0;
Black Premium;0;0;0;
Black Premium Leather;0;0;0;
Black Quartz;210;210;210;
Black Quilted Leather;0;0;0;
Black Rave;0;0;0;
Black Raven;0;0;0;
Black Raven - GBA;0;0;0;
Black Raven Gba;0;0;0;
Black Rbp;0;0;0;
Black Red;0;0;0;
Black Red Cut;0;0;0;
Black Roof/Moonlight;0;0;0;
Black Ry;0;0;0;
Black Sable Brown;60;30;10;
Black Saddle / Tan;60;30;10;
Black Sand Mica;80;80;80;
Black Sand Pearl;80;80;80;
Black Saphire;15;82;186;
Black Sapphire;15;82;186;
Black Sapphire Met;15;82;186;
Black Sapphire Metallic;15;82;186;
Black Sapphire Pearl;15;82;186;
Black Semi-Aniline Leathe;0;0;0;
Black Sensafin;0;0;0;
Black Series Interior - Two Tone;0;0;0;
Black Shetland;0;0;0;
Black Softex];0;0;0;
Black Sport;0;0;0;
Black Sport Seats;0;0;0;
Black Standard;0;0;0;
Black Stone;50;50;50;
Black Stone [Black;50;50;50;
Black Striated;0;0;0;
Black Synthetic Leather;0;0;0;
Black Tie;0;0;0;
Black Top;0;0;0;
Black Trim;0;0;0;
Black Tuxedo;0;0;0;
Black Uni;0;0;0;
Black Uni/Black Roof;0;0;0;
Black Valcona;0;0;0;
Black Velvet;10;10;10;
Black Velvet Metallic;10;10;10;
Black Velvet/Black Velvet;10;10;10;
Black Vernasca Leather;0;0;0;
Black Vernasca Leather Upholstery;0;0;0;
Black W;0;0;0;
Black W Fabric Seating Surfaces;0;0;0;
Black W RED STITCHING;0;0;0;
Black W Red;0;0;0;
Black W Seat Trim;0;0;0;
Black W/ Black Grained Trim (ed20);0;0;0;
Black W/ Brown;0;0;0;
Black W/ Gray;0;0;0;
Black W/ Rock Gray Stitching (ao);0;0;0;
Black W/Beige Stitching;0;0;0;
Black W/Blue Accents;0;0;0;
Black W/Blue Stitching;0;0;0;
Black W/Brown;0;0;0;
Black W/Carmine Red, Leather Seat Trim W/Race Tex Centers & GTS;0;0;0;
Black W/Contrast;0;0;0;
Black W/Contrast Stitch;0;0;0;
Black W/Linear Espresso W;0;0;0;
Black W/M Color Highlight;0;0;0;
Black W/Medium Dark Slate;0;0;0;
Black W/Mercato Blue;0;0;0;
Black W/Orange Stitching;0;0;0;
Black W/Oyster Stitching;0;0;0;
Black W/Premium Seat Trim;0;0;0;
Black W/Red Accent Stitching;0;0;0;
Black W/Red Hi/Stitch;0;0;0;
Black W/Red Highlight;0;0;0;
Black W/Red Stitching;0;0;0;
Black W/Stitching;0;0;0;
Black W/Striated Black Trim;0;0;0;
Black W/crescendo Red;0;0;0;
Black W/red Highlight;0;0;0;
Black W/red Stitching;0;0;0;
Black With Blue Accents;0;0;0;
Black With Orange Stitching Bo;0;0;0;
Black With Red Accents Evotex Seat Trim;0;0;0;
Black Wk;0;0;0;
Black Wk1;0;0;0;
Black Woven Cloth, cloth;0;0;0;
Black X3;0;0;0;
Black X9;0;0;0;
Black Y;0;0;0;
Black [Black];0;0;0;
Black and Blue;0;0;0;
Black and Brown;0;0;0;
Black and Cashmere Full Leather;0;0;0;
Black and Cream w/ Carbon Fiber;0;0;0;
Black and Gray;0;0;0;
Black and Orange;0;0;0;
Black and Red;0;0;0;
Black and White;128;128;128;
Black and White Synthetic Leather;128;128;128;
Black and White w/ Carbon Fiber;128;128;128;
Black and carbon fiber trim everywhere.;0;0;0;
Black convertible top;0;0;0;
Black leather;0;0;0;
Black seat trim;0;0;0;
Black w Extended Merino Leather Upholstery;0;0;0;
Black w Gray Stitching;0;0;0;
Black w Perforated Sensatec Upholstery;0;0;0;
Black w Red Stitching;0;0;0;
Black w Rock Gray Stitch;0;0;0;
Black w Shark Blue Stitch;0;0;0;
Black w Vernasca Leather Upholstery;0;0;0;
Black w/ Arctic Grey Stitching;0;0;0;
Black w/ Black Cascade Trim;0;0;0;
Black w/ Black Grained Trim;0;0;0;
Black w/ Blue Crust;0;0;0;
Black w/ Blue Stitching;0;0;0;
Black w/ Carbon Fiber;0;0;0;
Black w/ Carmine Red Stitching;0;0;0;
Black w/ Chalk Stitching;0;0;0;
Black w/ Contrast Stitching;0;0;0;
Black w/ Deep Sea Blue;0;0;0;
Black w/ Deviated Arctic Grey Stitching;0;0;0;
Black w/ Deviated Neodyme Stitching;0;0;0;
Black w/ GT Silver Stitching;0;0;0;
