Color;R;G;B
' ;128;128;128
Aero Blue Pearlcoat;135;206;250
Blue Granite Metallic;96;130;182
Blue Graphite Metallic;70;90;110
Blue Gray;119;136;153
Blue Grey;119;136;153
Blue Ice;173;216;230
Blue Ink;0;0;64
Brooklyn Grey Metallic;128;128;128
Championship White;255;255;255
Creme Beige Leather;245;245;220
Dark Slate/Medium Graystone;105;105;105
Ice Silver Metallic;192;192;192
Ice Storm Metallic;176;196;222
Iced Mocha Premium Colorant;210;180;140
Includes (BQU) Dark Cocoa Ash Lower Accent Color.);92;64;51
Ingot Blue Mica;65;105;225
Jet Black With Cinnamon Accents, Leatherette Seating Surfaces;15;10;10
Leather Interior in Black/Mojave Beige;80;70;60
Magnetic;105;105;105
Modern Steel Metallic;119;136;153
N/A;128;128;128
None;128;128;128
White with Red Lettering;255;255;255
null;128;128;128
